References,Reaction,Year
Article; Johnson et al.; Journal of the Chemical Society; (1958); p. 4254; Org. Synth. Coll. Vol. V. &lt;1973&gt; 1022;,C=CC(=O)OC.CC(=O)CC(C)=O>>COC(=O)CCC(C(C)=O)C(C)=O,1958
"Article; Banerjee; Bhattacharyya; Journal of the Indian Chemical Society; vol. 35; (1958); p. 467,473;",C=CC(=O)OC.CCOC(=O)C1CCCCC1=O>>CCOC(=O)C1(CCC(=O)OC)CCCCC1=O,1958
"Article; Davey; Tivey; Journal of the Chemical Society; (1958); p. 2276,2281;; ; Article; Dornow et al.; Justus Liebigs Annalen der Chemie; vol. 588; (1954); p. 62,67;; ; Article; Dornow; Frese; Justus Liebigs Annalen der Chemie; vol. 581; (1953); p. 211,216;",CCOC(=O)C[N+](=O)[O-].O=C(/C=C/c1ccccc1)c1ccccc1>>CCOC(=O)C(C(CC(=O)c1ccccc1)c1ccccc1)[N+](=O)[O-],1958
"Article; Bullock et al.; Journal of the Chemical Society; (1958); p. 1430,1438;",C=CC(=O)OCC.CC(=O)CC(C)=O>>CCOC(=O)CCC(C(C)=O)C(C)=O,1958
"Article; Zahn; Schaefer; Chemische Berichte; vol. 92; (1959); p. 736,740;",C=CC#N.CCOC(=O)C(C)C#N>>CCOC(=O)C(C)(C#N)CCC#N,1959
"Article; Kariyone,K.; Chemical and pharmaceutical bulletin; vol. 8; (1960); p. 1110 - 1113;",C=CC(=O)OCC.CCC#N>>CCOC(=O)CCC(C)C#N,1960
"Article; Sopova,A.S.; Temp,A.A.; Journal of general chemistry of the USSR; vol. 31; (1961); p. 1420 - 1422; Zhurnal Obshchei Khimii; vol. 31; 5; (1961); p. 1532 - 1534;",CCOC(=O)CC(C)=O.Cc1ccc(C=C[N+](=O)[O-])cc1>>CCOC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccc(C)cc1,1961
"Article; Stetter,H. et al.; Chemische Berichte; vol. 94; (1961); p. 2702 - 2707;",CCOC(=O)CC(=O)OCC.O=C1C=CCC1>>CCOC(=O)C(C(=O)OCC)C1CCC(=O)C1,1961
"Article; Borovicka,M. et al.; Collection of Czechoslovak Chemical Communications; vol. 26; (1961); p. 730 - 739;",C=CC(C)=O.CCOC(=O)C(C)C(=O)OCC>>CCOC(=O)C(C)(CCC(C)=O)C(=O)OCC,1961
"Article; Sopova,A.S.; Temp,A.A.; Journal of general chemistry of the USSR; vol. 31; (1961); p. 1420 - 1422; Zhurnal Obshchei Khimii; vol. 31; 5; (1961); p. 1532 - 1534;",CC(=O)CC(C)=O.Cc1ccc(C=C[N+](=O)[O-])cc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccc(C)cc1,1961
"Article; Feuer,H.; Harmetz,R.; Journal of Organic Chemistry; vol. 26; (1961); p. 1061 - 1072;",C=CC(C)=O.CCCC[N+](=O)[O-]>>CCCC(CCC(C)=O)[N+](=O)[O-],1961
"Article; Feuer,H.; Harmetz,R.; Journal of Organic Chemistry; vol. 26; (1961); p. 1061 - 1072;",C=CC(C)=O.CCC[N+](=O)[O-]>>CCC(CCC(C)=O)[N+](=O)[O-],1961
"Article; Ugi,I. et al.; Justus Liebigs Annalen der Chemie; vol. 641; (1961); p. 63 - 70;",C=CC(=O)OCC.CCOC(=O)C1CCc2ccccc2C1=O>>CCOC(=O)CCC1(C(=O)OCC)CCc2ccccc2C1=O,1961
"Article; Plieninger,H. et al.; Chemische Berichte; vol. 94; (1961); p. 2106 - 2114;",C=CC(C)=O.CCOC(=O)CC(C=O)C(=O)OCC>>CCOC(=O)CC(C=O)(CCC(C)=O)C(=O)OCC,1961
"Article; Bertocchio,R.; Dreux,J.; Bulletin de la Societe Chimique de France; (1962); p. 1809 - 1813;",C=C(C)C(=O)OC.N#CCc1ccccc1>>COC(=O)C(C)CC(C#N)c1ccccc1,1962
"Article; Lunt,E.; Tetrahedron, Supplement; vol. 6; (1964); p. 291 - 315;",CC(C)[N+](=O)[O-].O=C1C=CCCC1>>CC(C)(C1CCCC(=O)C1)[N+](=O)[O-],1964
"Article; Ross,N.C.; Levine,R.; Journal of Organic Chemistry; vol. 29; (1964); p. 2346 - 2350;",C=CC(C)=O.CCOC(=O)CC(=O)c1ccccc1>>CCOC(=O)C(CCC(C)=O)C(=O)c1ccccc1,1964
"Article; Ostaszynski,A. et al.; Bulletin de l'Academie Polonaise des Sciences, Serie des Sciences Chimiques; vol. 12; (1964); p. 1 - 8;",O=C(C=Cc1ccccc1)c1ccccc1.O=C1CCCCC1>>O=C(CC(c1ccccc1)C1CCCCC1=O)c1ccccc1,1964
"Article; Jacob,T.M. et al.; Tetrahedron; vol. 20; (1964); p. 2815 - 2820;",C=CC(=O)OCC.CCOC(=O)C1CCCCCC1=O>>CCOC(=O)CCC1(C(=O)OCC)CCCCCC1=O,1964
