References,Reaction,Year
"Article; Asahina, Yoshikazu; Wurtz, Nicholas R.; Arakawa, Kazuto; Carson, Nancy; Fujii, Kiyoshi; Fukuchi, Kazunori; Garcia, Ricardo; Hsu, Mei-Yin; Ishiyama, Junichi; Ito, Bruce; Kick, Ellen; Lupisella, John; Matsushima, Shingo; Ohata, Kohei; Ostrowski, Jacek; Saito, Yoshifumi; Tsuda, Kosuke; Villarreal, Francisco; Yamada, Hitomi; Yamaoka, Toshikazu; Wexler, Ruth; Gordon, David; Kohno, Yasushi; Journal of Medicinal Chemistry; vol. 63; 17; (2020); p. 9003 - 9019;",COC(=O)CC(=O)OC.COc1ccc(C=C[N+](=O)[O-])cc1>>COC(=O)C(C(=O)OC)[C@@H](C[N+](=O)[O-])c1ccc(OC)cc1,2020
"Article; Buendia, Mikkel B.; Kegnaes, S°ren; Kramer, S°ren; Advanced Synthesis and Catalysis; vol. 362; 23; (2020); p. 5506 - 5512;",CC(C)C/C=C/[N+](=O)[O-].CC(C)OC(=O)CC(=O)OC(C)C>>CC(C)C[C@@H](C[N+](=O)[O-])C(C(=O)OC(C)C)C(=O)OC(C)C,2020
"Article; Chhanda, Sadia Afrin; Itsuno, Shinichi; Tetrahedron; vol. 76; 24; (2020);",COC(=O)C1CCCC1=O.O=[N+]([O-])C=Cc1ccc(F)cc1>>COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccc(F)cc2)CCCC1=O,2020
"Article; Zheng, Zhi; Lin, Jian; Sun, Yang; Zhang, Suoqin; Tetrahedron Letters; vol. 61; 2; (2020);",O=C1C=C(O)C(=O)c2ccccc21.O=[N+]([O-])C=CC1CCCCC1>>O=C1C(O)=C([C@H](C[N+](=O)[O-])C2CCCCC2)C(=O)c2ccccc21,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1cccc(F)c1.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1cccc(F)c1)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccc(F)cc1.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1ccc(F)cc1)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",COc1ccc(CC#N)cc1OC.O=C(C=Cc1ccccc1)c1ccccc1>>COc1ccc(C(C#N)C(CC(=O)c2ccccc2)c2ccccc2)cc1OC,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",COc1ccccc1CC#N.O=C(C=Cc1ccccc1)c1ccccc1>>COc1ccccc1C(C#N)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",COc1cccc(CC#N)c1.O=C(C=Cc1ccccc1)c1ccccc1>>COc1cccc(C(C#N)C(CC(=O)c2ccccc2)c2ccccc2)c1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",Cc1ccccc1CC#N.O=C(C=Cc1ccccc1)c1ccccc1>>Cc1ccccc1C(C#N)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",Cc1cccc(CC#N)c1.O=C(C=Cc1ccccc1)c1ccccc1>>Cc1cccc(C(C#N)C(CC(=O)c2ccccc2)c2ccccc2)c1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",Cc1ccc(CC#N)cc1.O=C(C=Cc1ccccc1)c1ccccc1>>Cc1ccc(C(C#N)C(CC(=O)c2ccccc2)c2ccccc2)cc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1cccs1)c1cccs1>>N#CC(c1ccccc1)C(CC(=O)c1cccs1)c1cccs1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1cccs1)c1ccccc1>>N#CC(c1ccccc1)C(CC(=O)c1ccccc1)c1cccs1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1ccsc1)c1ccccc1>>N#CC(c1ccccc1)C(CC(=O)c1ccccc1)c1ccsc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1ccccc1)c1ccc([N+](=O)[O-])cc1>>N#CC(c1ccccc1)C(CC(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1ccc([N+](=O)[O-])cc1)c1ccccc1>>N#CC(c1ccccc1)C(CC(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.N#Cc1ccc(C(=O)C=Cc2ccccc2)cc1>>N#Cc1ccc(C(=O)CC(c2ccccc2)C(C#N)c2ccccc2)cc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1ccccc1)c1cccc(Br)c1>>N#CC(c1ccccc1)C(CC(=O)c1cccc(Br)c1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1F.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1ccccc1F)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1cccc(Cl)c1.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1cccc(Cl)c1)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1Cl.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1ccccc1Cl)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Tan, Zhi-Yu; Wu, Ke-Xin; Huang, Lu-Shan; Wu, Run-Shi; Du, Zheng-Yu; Xu, Da-Zhen; Green Chemistry; vol. 22; 2; (2020); p. 332 - 335;",Cc1ccc2ccccc2n1.N#CC(C#N)=C1C(=O)Nc2ccccc21>>N#CC(C#N)C1(Cc2ccc3ccccc3n2)C(=O)Nc2ccccc21,2020
"Article; Townsend, Daniel; Shankland, Kenneth; Weymouth-Wilson, Alex; Komsta, Zofia; Evans, Tim; Cobb, Alexander J. A.; Chemistry - A European Journal; vol. 26; 16; (2020); p. 3504 - 3508;",CC1(CC[N+](=O)[O-])C(=O)CCC1=O.O=C1C=CCCCC1>>CC1(CC([C@H]2CCCCC(=O)C2)[N+](=O)[O-])C(=O)CCC1=O,2020
"Article; Ismail, Mahmoud F.; El-sayed, Amira A.; Journal of Heterocyclic Chemistry; vol. 57; 7; (2020); p. 2990 - 3001;",CCOC(=O)CC#N.COc1ccc(/C=C/C(=O)c2ccc(-c3ccccc3)cc2)cc1OC>>CCOC(=O)C(C#N)C(CC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(OC)c(OC)c1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1.O=C(C=Cc1ccccc1)c1cccc(Cl)c1>>N#CC(c1ccccc1)C(CC(=O)c1cccc(Cl)c1)c1ccccc1,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CC(C)CC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CC(C)CC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCCCC/C=C\C/C=C\CCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCCCC/C=C\C/C=C\CCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCCCC/C=C\CCCCCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCCCC/C=C\CCCCCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCCCCCCCCCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCCCCCCCCCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCCCCCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCCCCCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCCCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCCCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; D'Oca, Caroline Da Ros Montes; Mass, Eduardo Bustos; Ongaratto, Renata Fontes; De Andrade, Arthur Motta; D'Oca, Marcelo G. Montes; Russowsky, Dennis; New Journal of Chemistry; vol. 44; 31; (2020); p. 13230 - 13239;",CCCCCC=C1C(=O)OC(C)(C)OC1=O.C[N+](=O)[O-]>>CCCCCC(C[N+](=O)[O-])C1C(=O)OC(C)(C)OC1=O,2020
"Article; Ha, Deok-Chan; Kim, Byeong-Seon; Lee, Min Ho; Lee, Min Ji; Shim, Jae Ho; RSC Advances; vol. 10; 53; (2020); p. 31808 - 31814;",COC(=O)C1CCCCC1=O.Cc1ccc(C=C[N+](=O)[O-])cc1>>COC(=O)[C@@]1([C@@H](C[N+](=O)[O-])c2ccc(C)cc2)CCCCC1=O,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",COc1ccc(C=CC(=O)c2ccccc2)cc1.N#CCc1ccccc1>>COc1ccc(C(CC(=O)c2ccccc2)C(C#N)c2ccccc2)cc1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",COc1cccc(C=CC(=O)c2ccccc2)c1.N#CCc1ccccc1>>COc1cccc(C(CC(=O)c2ccccc2)C(C#N)c2ccccc2)c1,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1ccccc1[N+](=O)[O-].O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1ccccc1[N+](=O)[O-])C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Pham, Thuy Trang; Chen, Xi; Soehnel, Tilo; Yan, Ning; Sperry, Jonathan; Green Chemistry; vol. 22; 6; (2020); p. 1978 - 1984;",C=CC(=O)OC.CC(=O)NC1=CC(=O)C(C)C1=O>>COC(=O)CCC1(C)C(=O)C=C(NC(C)=O)C1=O,2020
"Article; Zheng, Zhi; Lin, Jian; Sun, Yang; Zhang, Suoqin; Tetrahedron Letters; vol. 61; 2; (2020);",CCCC=C[N+](=O)[O-].O=C1C=C(O)C(=O)c2ccccc21>>CCC[C@@H](C[N+](=O)[O-])C1=C(O)C(=O)c2ccccc2C1=O,2020
"Article; Zheng, Zhi; Lin, Jian; Sun, Yang; Zhang, Suoqin; Tetrahedron Letters; vol. 61; 2; (2020);",O=C1C=C(O)C(=O)c2ccccc21.O=[N+]([O-])C=CCCc1ccccc1>>O=C1C(O)=C([C@@H](CCc2ccccc2)C[N+](=O)[O-])C(=O)c2ccccc21,2020
"Article; Bittorf, Lukas; Held, Christoph; Knierbein, Michael; Reiser, Oliver; Sadowski, Gabriele; Siewert, Riko; Verevkin, Sergey P.; Weinbender, Thomas; ChemPlusChem; vol. 85; 6; (2020); p. 1292 - 1296;",CC(C)(C)OC(=O)n1c(Cl)ccc1C=C[N+](=O)[O-].CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)C(C[N+](=O)[O-])c1ccc(Cl)n1C(=O)OC(C)(C)C,2020
"Article; Nguyen, Thi Thu Tram; Le, Van Anh; Retailleau, Pascal; Nguyen, Thanh Binh; Advanced Synthesis and Catalysis; vol. 362; 1; (2020); p. 160 - 165;",N#CCc1cccc(C(F)(F)F)c1.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1cccc(C(F)(F)F)c1)C(CC(=O)c1ccccc1)c1ccccc1,2020
"Article; Ding, Pei-Gang; Hu, Xiao-Si; Yu, Jin-Sheng; Zhou, Jian; Organic Letters; (2020);",Cc1ccc(C=CC(=O)C(=O)OC(C)(C)C)cc1.Cc1ccc2c(c1)C(=O)C(N=[N+]=[N-])C2>>Cc1ccc([C@H](CC(=O)C(=O)OC(C)(C)C)[C@@]2(N=[N+]=[N-])Cc3ccc(C)cc3C2=O)cc1,2020
"Article; Ding, Pei-Gang; Hu, Xiao-Si; Yu, Jin-Sheng; Zhou, Jian; Organic Letters; (2020);",Cc1ccc(C=CC(=O)C(=O)OC(C)(C)C)cc1.[N-]=[N+]=NC1Cc2ccc(Br)cc2C1=O>>Cc1ccc([C@H](CC(=O)C(=O)OC(C)(C)C)[C@@]2(N=[N+]=[N-])Cc3ccc(Br)cc3C2=O)cc1,2020
"Article; Omelian, Taras V.; Dobrydnev, Alexey V.; Utchenko, Oleksandr Yu.; Ostapchuk, Eugeniy N.; Konovalova, Irina S.; Volovenko, Yulian M.; Monatshefte fur Chemie; vol. 151; 11; (2020); p. 1759 - 1772;",CC(C)(C)OC(=O)CC(=O)OC(C)(C)C.CC12C=CS(=O)(=O)N1CCC2>>CC(C)(C)OC(=O)C(C(=O)OC(C)(C)C)C1CS(=O)(=O)N2CCCC12C,2020
"Article; Bittorf, Lukas; Held, Christoph; Knierbein, Michael; Reiser, Oliver; Sadowski, Gabriele; Siewert, Riko; Verevkin, Sergey P.; Weinbender, Thomas; ChemPlusChem; vol. 85; 6; (2020); p. 1292 - 1296;",CCOC(=O)CC(=O)OCC.O=[N+]([O-])C=Cc1cccs1>>CCOC(=O)C(C(=O)OCC)[C@H](C[N+](=O)[O-])c1cccs1,2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",O=[N+]([O-])C=C/C=C/c1ccc(Br)cc1.[N-]=[N+]=NC1COCCC1=O>>[N-]=[N+]=N[C@]1([C@@H](/C=C/c2ccc(Br)cc2)C[N+](=O)[O-])COCCC1=O,2020
"Article; Hu, Liangjian; Lin, Shaoxia; Li, Shiwu; Kang, Qiang; Du, Yu; ChemCatChem; vol. 12; 1; (2020); p. 118 - 121;",CC(=C(C#N)C#N)c1ccccc1.Cn1ccnc1C(=O)C=Cc1ccco1>>Cn1ccnc1C(=O)C[C@@H](CC(=C(C#N)C#N)c1ccccc1)c1ccco1,2020
"Article; Ha, Deok-Chan; Kim, Byeong-Seon; Lee, Min Ho; Lee, Min Ji; Shim, Jae Ho; RSC Advances; vol. 10; 53; (2020); p. 31808 - 31814;",COC(=O)C1CCCCC1=O.O=[N+]([O-])C=Cc1ccc(Br)cc1>>COC(=O)[C@@]1([C@@H](C[N+](=O)[O-])c2ccc(Br)cc2)CCCCC1=O,2020
"Article; Han, Zhao; Lin, Xufeng; Synthesis; vol. 52; 7; (2020); p. 1131 - 1139;",COc1cccc(C=C[N+](=O)[O-])c1.O=C(CC(=O)c1ccccc1)c1ccccc1>>COc1cccc(C(C[N+](=O)[O-])C(C(=O)c2ccccc2)C(=O)c2ccccc2)c1,2020
"Article; Khade, Amol B.; Boshoff, Helena I. M.; Arora, Kriti; Vandana; Verma, Ruchi; Shenoy, G. Gautham; Structural Chemistry; vol. 31; 3; (2020); p. 983 - 998;",C[N+](=O)[O-].O=C(/C=C/c1ccc(Oc2ccccc2)c(O)c1)c1ccccc1>>O=C(CC(C[N+](=O)[O-])c1ccc(Oc2ccccc2)c(O)c1)c1ccccc1,2020
"Article; Ha, Deok-Chan; Kim, Byeong-Seon; Lee, Min Ho; Lee, Min Ji; Shim, Jae Ho; RSC Advances; vol. 10; 53; (2020); p. 31808 - 31814;",CC(C)/C=C/[N+](=O)[O-].COC(=O)C1CCCC1=O>>COC(=O)[C@@]1([C@@H](C[N+](=O)[O-])C(C)C)CCCC1=O,2020
"Article; Buendia, Mikkel B.; Kegnaes, S°ren; Kramer, S°ren; Advanced Synthesis and Catalysis; vol. 362; 23; (2020); p. 5506 - 5512;",CC(C)(C)C(=O)OCCCC/C=C/[N+](=O)[O-].COC(=O)CC(=O)OC>>COC(=O)C(C(=O)OC)[C@@H](CCCCOC(=O)C(C)(C)C)C[N+](=O)[O-],2020
"Article; Buendia, Mikkel B.; Kegnaes, S°ren; Kramer, S°ren; Advanced Synthesis and Catalysis; vol. 362; 23; (2020); p. 5506 - 5512;",CC(C)(C)[Si](C)(C)OCCCC/C=C/[N+](=O)[O-].COC(=O)CC(=O)OC>>COC(=O)C(C(=O)OC)[C@@H](CCCCO[Si](C)(C)C(C)(C)C)C[N+](=O)[O-],2020
"Article; Ha, Deok-Chan; Kim, Byeong-Seon; Lee, Min Ho; Lee, Min Ji; Shim, Jae Ho; RSC Advances; vol. 10; 53; (2020); p. 31808 - 31814;",COC(=O)C1CCCC1=O.O=[N+]([O-])/C=C/C1CCCCC1>>COC(=O)[C@@]1([C@@H](C[N+](=O)[O-])C2CCCCC2)CCCC1=O,2020
"Article; Ha, Deok-Chan; Kim, Byeong-Seon; Lee, Min Ho; Lee, Min Ji; Shim, Jae Ho; RSC Advances; vol. 10; 53; (2020); p. 31808 - 31814;",CCCOC(=O)CC(=O)OCCC.O=[N+]([O-])/C=C/c1ccccc1>>CCCOC(=O)C(C(=O)OCCC)[C@@H](C[N+](=O)[O-])c1ccccc1,2020
"Article; Xu, Xinyao; He, Yanmin; Zhou, Jingqi; Li, Xinjuan; Zhu, Bo; Chang, Junbiao; Journal of Organic Chemistry; vol. 85; 2; (2020); p. 574 - 584;",CC(C)C1=NN(c2ccccc2)C(=O)C1C.O=C(C=CC(F)(F)F)c1ccccc1>>CC(C)C1=NN(c2ccccc2)C(=O)[C@@]1(C)[C@H](CC(=O)c1ccccc1)C(F)(F)F,2020
"Article; Han, Zhao; Lin, Xufeng; Synthesis; vol. 52; 7; (2020); p. 1131 - 1139;",O=C(CC(=O)c1ccccc1)c1ccccc1.O=[N+]([O-])C=Cc1ccc(Cl)cc1>>O=C(c1ccccc1)C(C(=O)c1ccccc1)C(C[N+](=O)[O-])c1ccc(Cl)cc1,2020
"Article; Bittorf, Lukas; Held, Christoph; Knierbein, Michael; Reiser, Oliver; Sadowski, Gabriele; Siewert, Riko; Verevkin, Sergey P.; Weinbender, Thomas; ChemPlusChem; vol. 85; 6; (2020); p. 1292 - 1296;",CC(C)(C)OC(=O)n1cc(C=C[N+](=O)[O-])c2ccccc21.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)[C@@H](C[N+](=O)[O-])c1cn(C(=O)OC(C)(C)C)c2ccccc12,2020
"Article; Bittorf, Lukas; Held, Christoph; Knierbein, Michael; Reiser, Oliver; Sadowski, Gabriele; Siewert, Riko; Verevkin, Sergey P.; Weinbender, Thomas; ChemPlusChem; vol. 85; 6; (2020); p. 1292 - 1296;",CCOC(=O)CC(=O)OCC.O=[N+]([O-])C=Cc1cc2ccccc2o1>>CCOC(=O)C(C(=O)OCC)[C@H](C[N+](=O)[O-])c1cc2ccccc2o1,2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",O=[N+]([O-])C=Cc1ccccc1.[N-]=[N+]=NC1Cc2ccccc2C1=O>>[N-]=[N+]=N[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)Cc2ccccc2C1=O,2020
"Article; Buendia, Mikkel B.; Kegnaes, S°ren; Kramer, S°ren; Advanced Synthesis and Catalysis; vol. 362; 23; (2020); p. 5506 - 5512;",C=CCC/C=C/[N+](=O)[O-].COC(=O)CC(=O)OC>>C=CCC[C@@H](C[N+](=O)[O-])C(C(=O)OC)C(=O)OC,2020
"Article; Buendia, Mikkel B.; Kegnaes, S°ren; Kramer, S°ren; Advanced Synthesis and Catalysis; vol. 362; 23; (2020); p. 5506 - 5512;",CC(C)(C)C(=O)NCCC/C=C/[N+](=O)[O-].COC(=O)CC(=O)OC>>COC(=O)C(C(=O)OC)[C@@H](CCCNC(=O)C(C)(C)C)C[N+](=O)[O-],2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",Cc1ccc(C=C[N+](=O)[O-])cc1.[N-]=[N+]=NC1Cc2ccccc2C1=O>>Cc1ccc([C@@H](C[N+](=O)[O-])[C@@]2(N=[N+]=[N-])Cc3ccccc3C2=O)cc1,2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",O=[N+]([O-])C=Cc1ccc2ccccc2c1.[N-]=[N+]=NC1Cc2ccccc2C1=O>>[N-]=[N+]=N[C@]1([C@H](C[N+](=O)[O-])c2ccc3ccccc3c2)Cc2ccccc2C1=O,2020
"Article; Ma, Dawei; Nagaraju, Karre; Ni, Dongshun; Angewandte Chemie - International Edition; vol. 59; 49; (2020); p. 22039 - 22042; Angew. Chem.; vol. 132; 49; (2020); p. 22223 - 22226,4;",C=CC#N.COC(=O)C1CCc2c(c3ccccc3n2C(=O)OC(C)(C)C)C1=O>>COC(=O)C1(CCC#N)CCc2c(c3ccccc3n2C(=O)OC(C)(C)C)C1=O,2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",O=[N+]([O-])C=Cc1cccs1.[N-]=[N+]=NC1Cc2ccccc2C1=O>>[N-]=[N+]=N[C@]1([C@H](C[N+](=O)[O-])c2cccs2)Cc2ccccc2C1=O,2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",O=[N+]([O-])C=C/C=C/c1ccc(Br)cc1.[N-]=[N+]=NC1CCCC1=O>>[N-]=[N+]=N[C@]1([C@@H](/C=C/c2ccc(Br)cc2)C[N+](=O)[O-])CCCC1=O,2020
"Article; Ding, Pei-Gang; Wang, Xin; Yu, Jin-Sheng; Zhao, Qiu-Hua; Zhou, Feng; Zhou, Jian; Chemical Science; vol. 11; 15; (2020); p. 3852 - 3861;",O=[N+]([O-])C=Cc1ccc(Cl)cc1.[N-]=[N+]=NC1Cc2ccc(Br)cc2C1=O>>[N-]=[N+]=N[C@]1([C@H](C[N+](=O)[O-])c2ccc(Cl)cc2)Cc2ccc(Br)cc2C1=O,2020
"Article; Gzella, Andrzej K.; Kaminskyy, Danylo; Karpenko, Olexandr; Lesyk, Roman; Lozynskyi, Andrii; Yushyn, Ihor; Zimenkovsky, Borys; Journal of Molecular Structure; vol. 1217; (2020);",O=C(O)C(=O)C=Cc1ccccc1.O=C1NC(=S)CS1>>O=C1NC(=S)C(C(CC(=O)C(=O)O)c2ccccc2)S1,2020
